ID,Nombre de la Unidad Económica,Razón social,Código de la clase de actividad SCIAN,Nombre de clase de la actividad,Automotriz,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior,Edificio,Edificio Piso,Número interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado público",Número de local,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Manzana,Número de teléfono,Correo electrónico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporación al DENUE
1357680,AGUA HYDRA NATURA,,312112,Purificación y embotellado de agua,0,11 a 30 personas,AVENIDA,CONSTITUYENTES,CALLE,HENRRY DUNANT,PRIVADA,ALHELÍES,CALLE,ALHELÍES,702,A,,,,,COLONIA,ROSALINDA II,,,,38060,11,GUANAJUATO,7,CELAYA,1,Celaya,1690,24,4616151111,,,Fijo,20.51853473,-100.8397876,jul-10
6329532,"ARNIME, S.A. DE C.V.","ARNIME, S.A. DE C.V.",311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación,0,101 a 250 personas,CARRETERA,CARRETERA FEDERAL LIBRE 51 CELAYA - VILLAGRÁN KILOMETROS 4200,CALLE,NINGUNO,CALLE,NINGUNO,,NINGUNO,0,SN,,,0,,FRACCIONAMIENTO,SANTA ELENA,,,,38110,11,GUANAJUATO,7,CELAYA,674,Ninguno [Balneario],71,800,4616110088,PERSONALARNIME@GMAIL.COM,WWW.ARNIME.COM,Fijo,20.49780834,-100.8400114,dic-14
6331220,BODEGA DE DISTRIBUCION DE HUEVO,BACHOCO SA DE CV,311110,Elaboración de alimentos para animales,0,11 a 30 personas,CALLE,CONCEPCIÓN BÉISTEGUI,CALLE,CONCEPCIÓN BÉISTEGUI,CALLE,EJE NOR-PONIENTE,CALLE,NINGUNO,0,SN,,,0,,COLONIA,NINGUNO,,,,38020,11,GUANAJUATO,7,CELAYA,1,Celaya,724,11,4611567983,,,Fijo,20.51984903,-100.8499341,jul-10
1349181,CAJETAS Y DULCES LA TRADICIONAL,,311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate",0,11 a 30 personas,AVENIDA,LICENCIADO BENITO JUÁREZ,CALLE,NICOLÁS BRAVO,BOULEVARD,ADOLFO LÓPEZ MATEOS,CALLE,ZARAGOZA,109,,,,111,,COLONIA,CENTRO,,,,38000,11,GUANAJUATO,7,CELAYA,1,Celaya,156,29,4616128706,,,Fijo,20.52060865,-100.8152685,jul-10
1244351,"CHAPERM, S. DE R.L. DE C.V.","CHAPERM, S. DE R.L. DE C.V.",315229,Confección en serie de otra ropa exterior de materiales textiles,0,11 a 30 personas,PRIVADA,DOCTOR FRANCISCO PAREDES,CALLE,MARIANO ABASOLO,AVENIDA,PROFESOR FRANCISCO JUÁREZ,CALLE,ALBINO GARCÍA,103,,,,,,COLONIA,TIERRAS NEGRAS,,,,38048,11,GUANAJUATO,7,CELAYA,1,Celaya,137,5,,,,Fijo,20.52443317,-100.8240067,dic-14
1347802,COMERCIAL DEL CENTRO LUCCA,"COMERCIAL DEL CENTRO LUCCA, S.A. DE C.V.",315223,Confección en serie de uniformes,0,11 a 30 personas,CALLE,GENERAL ORTEGA,CALLE,GENERAL E. ORTEGA,ANDADOR,DE NAYARIT,ANDADOR,DE NAYARIT,213,A,,,,,COLONIA,ALAMEDA,,,,38050,11,GUANAJUATO,7,CELAYA,1,Celaya,1239,33,4616129144,,,Fijo,20.53242557,-100.8053423,jul-10
6313302,"COMPANIA MANUFACTURA ASTURIAS, S.A. DE C.V.","COMPAÑÍA MANUFACTURA ASTURIAS, S.A. DE C.V.",311222,Elaboración de aceites y grasas vegetales comestibles,0,101 a 250 personas,,CARRETERA ESTATAL LIBRE CELAYA - SAN MIGUEL DE ALLENDE KILÓMETRO 9,,NINGUNO,,NINGUNO,,NINGUNO,0,SN,,,0,,,SAN ISIDRO DE LA CONCEPCIÓN,,,,38104,11,GUANAJUATO,7,CELAYA,7002,Localidad económica,14,800,4616188960,R.GALLARDO@LASTUR.COM.MX,,Fijo,20.63527773,-100.785,jul-10
1245685,CONFECCIONES MAYRA,,315192,Fabricación de ropa exterior de tejido de punto,0,11 a 30 personas,PRIVADA,LOS AZTECAS,CALLE,LEANDRO VALLE,CALLE,ABASOLO,CALLE,MARIANO JIMÉNEZ,12,,,,,,COLONIA,MARIANO JIMÉNEZ,,,,38048,11,GUANAJUATO,7,CELAYA,1,Celaya,103,30,4616137006,CONFECCIONESMAYRA@OTMAIL.COM,,Fijo,20.5283515,-100.8229939,dic-14
1242056,CUERITOS E INCURTIDOS DEL BAJÍO,,311910,Elaboración de botanas,0,11 a 30 personas,PRIVADA,SANTA CECILIA,AVENIDA,CONSTITUYENTES,PRIVADA,PRIMERA DE LÁZARO CÁRDENAS DEL RÍO,AVENIDA,CONSTITUYENTES,0,SN,,,,,COLONIA,TIERRA BLANCA,,,,38090,11,GUANAJUATO,7,CELAYA,1,Celaya,1525,30,4611319146,,,Fijo,20.50881783,-100.8148965,dic-14
1244387,DOMINO'S PIZZA,"OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACIÓN, S.A. DE C.V.",311812,Panificación tradicional,0,11 a 30 personas,BOULEVARD,ADOLFO LÓPEZ MATEOS,CALLE,PALMAS,AVENIDA,2 DE ABRIL,CALLE,JOSÉ MARÍA MORELOS,0,SN,,,,,COLONIA,CENTRO,,,,38000,11,GUANAJUATO,7,CELAYA,1,Celaya,018A,12,461617220,11349@DOMINOS.COM.MX,WWW.DOMINOS.COM.MX,Fijo,20.52002514,-100.8002148,dic-14
